NEAREST_AGENCY_DISTANCE,NEAREST_AGENCY_DUREE,NEAREST_AGENCY_LABEL,ZIP_CODE
16744,34,Melun,77870
36902,27,Lille,59187
8893,8,Grenoble,38120
12276,15,Lille,59710
102021,83,Grenoble,26410
26452,24,Montpellier,30220
194016,126,Bordeaux,40330
112992,90,Toulouse,32140
164818,101,Bordeaux,40990
148167,99,Dijon,25390
46971,36,Tours,37530
53886,42,Bordeaux,33970
108771,77,Metz,88130
69902,66,Donzère (reprise uniquement),7450
68835,47,Lille,59161
80979,62,Bordeaux,40600
117620,66,Lille,80118
52052,67,Cergy-Pontoise,60160
162199,112,Grenoble,73480
29205,23,Aix-en-Provence,13130
46615,38,Metz,54560
80753,65,Toulouse,82210
133398,122.783333333,Lorient,22740
86644,81.333333333,Tours,49140
108369,90.866666667,Rennes,61700
123876,76,Strasbourg,68460
56954,44.666666667,Brest,29190
102380,65,Caen,50400
145232,106,Bordeaux,24440
27961,24,Lille,59181
100905,97,Toulouse,81240
71735,66,Clermont-Ferrand,63810
72117,61,Clermont-Ferrand,63850
118548,80.533333333,Caen,61170
11577,12,Annecy,74330
91495,66,Metz,54116
29662,19,Metz,57180
19000,31,Nemours,77670
104885,69,Paris,80500
17090,35,Lille,59160
27575,17,Toulon,83790
3334,3,Annecy,74940
170609,107,Dijon,25190
26401,22.166666667,Nantes,44340
23997,41,Paris,95170
24384,41,Toulouse,31270
99610,73,Lille,80115
259117,171,Bordeaux,64430
48890,39,Metz,54610
65300,45.016666667,Rennes,35400
17144,35,Saint-Germain-en-Laye,78400
65563,46,Bordeaux,33410
49299,35,Lyon,38300
191347,129,Bordeaux,87200
69021,50,Lille,59294
35479,29,Metz,54150
72317,43,Lyon,1250
207963,123,Bordeaux,64480
121769,103,Reims,8170
103894,61,Lille,2100
141005,89,Toulouse,65130
66898,51.766666667,Nantes,49520
12009,14,Rouen,76960
27792,23,Aix-en-Provence,13000
159880,98,Clermont-Ferrand,18160
27735,21,Clermont-Ferrand,63260
176170,122,Dijon,70310
18379,36,Cergy-Pontoise,95640
128083,85,Dijon,25580
88334,80.4,Poitiers,49700
33655,30,Strasbourg,67310
77133,51,Clermont-Ferrand,42830
121791,92,Lyon,42550
35095,24,Avignon,84460
100464,68,Dijon,21520
177821,126,Toulouse,12300
125709,79,Rouen,80120
71140,57,Lille,62111
121460,73,Strasbourg,68200
37133,37,Annecy,74130
165650,125,Tours,87890
93688,62.7,Lorient,56220
58687,39.783333333,Rennes,22270
88701,66,Toulouse,32000
20625,38,Paris,94470
29827,31,Lille,62980
14726,32,Paris,92370
68278,53,Toulouse,32200
22213,39,Sainte-Geneviève-des-Bois,91800
23960,23,Caen,14990
5650,6,Caen,14980
89792,66,Annecy,74110
77869,60,Lyon,42230
17849,35,Sainte-Geneviève-des-Bois,91230
170995,101,Toulouse,65490
61311,68,Donzère (reprise uniquement),30430
18084,23.366666667,Nantes,44390
42468,30,Metz,57840
214005,133,Clermont-Ferrand,19430
38079,35.766666667,Lorient,29350
76191,50,Montpellier,34420
38406,26,Avignon,84830
65279,39,Donzère (reprise uniquement),7130
5005,24,Sainte-Geneviève-des-Bois,91220
19189,23,Lille,59830
134082,94,Nantes,85460
49000,40,Nemours,89330
105161,67,Lille,80720
25982,21,Aix-en-Provence,13002
10524,8,Toulon,83000
52564,40,Reims,8270
140756,80,Rouen,80830
69009,58,Strasbourg,67130
13161,18.183333333,Brest,29290
85328,55,Metz,54110
112824,67,Lille,80190
19162,16,Nice,6160
97080,65,Donzère (reprise uniquement),26330
128871,81,Clermont-Ferrand,42940
97843,73,Lille,59216
106182,75,Toulouse,9420
46953,36.966666667,Lorient,56740
95246,54,Reims,77660
106044,66.433333333,Nantes,49630
71673,44,Toulouse,9100
11436,11,Caen,14112
158603,93,Toulouse,65800
9878,28,Cergy-Pontoise,78780
23309,40,Cergy-Pontoise,95420
66896,45.616666667,Rennes,22490
4078,5,Toulon,83210
54928,37.166666667,Brest,29600
64000,48,Poitiers,86200
130480,111,Annecy,73320
12676,16,Dijon,21160
76790,46,Caen,50180
