timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2026-01-15T09:19:43.000Z,,,0.3,,90,56,22.212,,0.04575
2026-01-15T09:19:44.000Z,,,0.3,,97,61,25.6536,,0.051930000000000004
2026-01-15T09:19:45.000Z,,,0.3,,80,62,18.7776,,0.05826
2026-01-15T09:19:46.000Z,,,0.3,,61,60,14.1912,,0.06239
2026-01-15T09:19:47.000Z,,,0.3,,70,60,16.992,,0.06623000000000001
2026-01-15T09:19:48.000Z,,,0.3,,81,60,19.3212,,0.07178
2026-01-15T09:19:49.000Z,,,0.3,,86,61,21.582,,0.07676999999999999
2026-01-15T09:19:50.000Z,,,0.3,,86,62,20.8584,,0.08369
2026-01-15T09:19:51.000Z,,,0.3,,81,63,20.8728,,0.08942
2026-01-15T09:19:52.000Z,,,0.3,,77,63,18.212400000000002,,0.09459999999999999
2026-01-15T09:19:53.000Z,,,0.3,,78,63,19.35,,0.09961
2026-01-15T09:19:54.000Z,,,0.3,,81,64,20.8944,,0.10543000000000001
2026-01-15T09:19:55.000Z,,,0.3,,79,64,19.1376,,0.11103
2026-01-15T09:19:56.000Z,,,0.3,,81,65,19.3752,,0.11625
2026-01-15T09:19:57.000Z,,,0.3,,82,66,23.1336,,0.1225
2026-01-15T09:19:58.000Z,,,0.3,,72,65,17.229599999999998,,0.12708
2026-01-15T09:19:59.000Z,,,0.3,,66,65,16.3296,,0.13177000000000003
2026-01-15T09:20:00.000Z,,,0.3,,68,64,16.3224,,0.13596
2026-01-15T09:20:01.000Z,,,0.3,,73,64,17.5032,,0.14062
2026-01-15T09:20:02.000Z,,,0.3,,74,64,18.8784,,0.14615
2026-01-15T09:20:03.000Z,,,0.3,,75,64,18.021600000000003,,0.15141
2026-01-15T09:20:04.000Z,,,0.3,,79,64,20.0772,,0.15657
2026-01-15T09:20:05.000Z,,,0.3,,77,64,18.651600000000002,,0.16211
2026-01-15T09:20:06.000Z,,,0.3,,79,64,19.0332,,0.167
2026-01-15T09:20:07.000Z,,,0.3,,86,65,22.993199999999998,,0.17312
2026-01-15T09:20:08.000Z,,,0.3,,82,66,20.5776,,0.1789
2026-01-15T09:20:09.000Z,,,0.3,,73,66,18.943199999999997,,0.18439
2026-01-15T09:20:10.000Z,,,0.3,,69,66,15.685200000000002,,0.18858000000000003
