"","Name","Code","Political_Corruption","GDP_per_Capita","Lifespan","Net_Migration","Overweight_Adults","Population_Density","KWH_pp_pc","Military_Expenses","Population_Growth","Primary_School_Enrollment","OCDE","Happiness"
"35","El Salvador","SLV",0.652454545454545,4231.23612288995,71.98025,-47766,58.975,301.945811883312,5846.59631818182,1.17390596363636,0.288545454545455,100.752787998745,0,6.1741
"36","Estonia","EST",0.0296363636363636,23203.9844202667,77.8731707317073,2902.875,55.275,30.6777593689,51393.354,2.10362367272727,0.318818181818182,97.7188390096029,1,5.9644
"37","Eswatini","SWZ",0.532272727272727,3743.32688971835,56.720125,-9597.875,37.6,67.0219702842377,5275.56508181818,1.82556963636364,0.842636363636364,123.205942426409,0,3.949
"38","Ethiopia","ETH",0.571363636363636,750.171205738532,64.34725,58976.25,20.15,96.0435471681927,590.919459090909,0.876661327272727,2.67527272727273,97.1772857666016,0,4.277
"39","Finland","FIN",0.0124545454545455,48642.1574511576,81.5432926829268,15201.5,57.4,18.0938001628641,59543.2739090909,1.48338582727273,0.305181818181818,99.5919121636285,1,7.6706
"40","France","FRA",0.0560909090909091,40793.2913361085,82.5109756097561,19997.125,58.825,122.237200267126,40768.201,1.89908614545455,0.316454545454545,102.290326436361,1,6.5887
"41","Gabon","GAB",0.807363636363636,7761.66073706294,65.830125,8279.875,39.35,8.2761188945378,8006.7518,1.48443336363636,2.63481818181818,100.589340209961,0,4.6819
"42","Georgia","GEO",0.120545454545455,5103.13007942462,73.217375,-11043.25,53.15,65.1136673781448,15016.7491818182,1.91419873636364,-0.0384545454545455,104.7739112854,0,4.6525
"43","Germany","DEU",0.0136363636363636,47850.9460532199,80.9289634146342,382440.625,56.225,235.663419593294,44355.6220909091,1.23163763636364,0.414454545454545,102.293753729926,1,6.9521
"44","Ghana","GHA",0.620818181818182,2138.96910950178,63.689875,-7680.375,31.1,132.713086892251,2644.74278181818,0.365611337272727,2.105,98.9799101087782,0,4.6684
"45","Greece","GRC",0.182727272727273,19972.981277837,81.3871951219512,-25800.875,61.675,83.5543720368934,29068.8763636364,2.85201987272727,-0.748727272727273,98.8670323689779,1,5.4813
"46","Guatemala","GTM",0.763090909090909,4434.92156960264,72.294125,-43709.125,54.925,150.089045456431,4898.70760909091,0.421916524545455,1.64645454545455,104.135987854004,0,6.3252
"47","Guinea","GIN",0.866909090909091,1003.80777807431,58.759875,-13969,25.775,49.9014365944978,1251.02323454545,1.93713332727273,2.51763636363636,97.0329157511393,0,4.4187
"48","Honduras","HND",0.826454545454545,2499.36773316884,72.39325,-6486.5,54.65,86.0194387344714,4628.41035454545,1.46070210909091,1.80481818181818,88.2251653671265,0,5.6089
"49","Hungary","HUN",0.468272727272727,16241.6567394781,75.8414634146342,15334,60.825,107.496391392705,26736.1455454545,1.28819211363636,-0.199636363636364,99.1418940226237,1,5.6783
"50","India","IND",0.632,1932.74980570605,69.9405,-295442.75,18.85,454.810542884915,6421.32853636364,2.50976838181818,1.04672727272727,100.337752342224,0,4.0748
"51","Indonesia","IDN",0.736909090909091,3939.28791245128,69.73675,-36920.5,26.95,140.553841946858,7982.4861,0.809156320909091,0.950818181818182,105.874771118164,0,5.2976
"52","Ireland","IRL",0.0301818181818182,79350.572272911,81.8780487804878,16010.875,59.75,69.9447396009742,36643.7490909091,0.308251826363636,1.14127272727273,101.163124084473,0,6.9791
"53","Israel","ISR",0.114,43710.3499084954,82.4344512195122,13704,63.8,402.741322653522,33521.1906363636,5.24826773636364,1.76336363636364,96.9101231892903,1,7.2551
"54","Italy","ITA",0.188818181818182,34453.2587905297,82.9442073170732,60508,57.825,203.5127102867,29884.6543636364,1.44189135454545,-0.179181818181818,101.660625033908,1,6.2178
"55","Jamaica","JAM",0.142818181818182,5411.21205480237,72.2685,-11329,54.45,258.919944598338,12388.6403636364,1.20327067545455,0.199090909090909,94.1709846496582,0,5.7904
"56","Japan","JPN",0.0834545454545454,38248.7647420039,83.9907012195122,149300.875,26.625,347.903244322512,41130.7252727273,0.988471824545455,-0.271545454545455,102.381381034851,1,5.9668
"57","Jordan","JOR",0.503727272727273,4174.26533305314,75.260125,280230.75,68.775,111.708721075292,10653.2045454545,4.53141452727273,3.78781818181818,88.9200325012207,0,4.7384
"58","Kazakhstan","KAZ",0.819636363636364,10395.4936698907,72.13625,-14381.375,52.7,6.67750128615114,40450.1051818182,0.866924439090909,1.45945454545455,100.908206939697,0,5.9968
"59","Kenya","KEN",0.575636363636364,1764.74307339527,62.254375,-64867.875,24.6,85.9414934033024,1616.15870909091,1.16128067272727,2.08163636363636,100.089705330985,0,4.4937
"60","Kuwait","KWT",0.465,34305.5949795459,79.2475,39276.25,72.775,229.820906596832,110689.730181818,5.08935660909091,3.21972727272727,98.4459533691407,0,6.22311111111111
"61","Lao PDR","LAO",0.762545454545455,2273.4393917518,67.202375,-14578.375,24.15,30.3439293279415,7898.94100909091,0.18989518,1.47036363636364,107.431523895264,0,4.94222222222222
"62","Latvia","LVA",0.097,17021.7600407929,74.6442073170732,-9906.5,57.325,31.2681232238914,22314.9747272727,1.81927014272727,-0.673363636363636,99.7078043619792,1,5.899
"63","Lesotho","LSO",0.503636363636364,1062.9020711647,52.257875,-3868.5,37.8,71.5907773386034,1805.25399090909,1.8609806,1.16481818181818,110.09794921875,0,3.772375
"64","Liberia","LBR",0.863636363636364,700.260384339448,60.26075,-21072,30.075,49.8540143964563,761.810136363636,0.64839151,2.07281818181818,83.9710494995117,0,4.1812
"65","Lithuania","LTU",0.132090909090909,19464.8943956311,74.9807926829268,-17040.125,59.075,45.5581422585738,23606.0225454545,1.73325045,-0.329090909090909,102.626958211263,1,6.2146
"66","Luxembourg","LUX",0.027,118437.268668449,82.2725609756097,10327.25,58.1,230.730888980386,71532.2166363636,0.50087876,2.00018181818182,97.7088868882921,1,7.0996
"67","Madagascar","MDG",0.817454545454545,487.172200679129,64.872625,85.125,23,45.0416235055957,534.346697272727,0.581218445454545,2.57718181818182,138.907379150391,0,3.9687
"68","Malawi","MWI",0.648818181818182,550.273020375663,62.288,-5957.375,22.65,190.0137851789,417.671671818182,0.712455180909091,2.67154545454545,135.854609171549,0,3.7219
"69","Malaysia","MYS",0.443909090909091,10593.1383861308,75.42275,79055.375,41.1,97.1573685723466,36695.0151818182,1.15111701272727,1.51572727272727,100.334225463867,0,5.7986
"70","Mali","MLI",0.814454545454545,948.409940038597,58.646625,-38070.625,27.05,15.8728431182393,1056.59185090909,2.71585669090909,3.08472727272727,73.4395875930786,0,4.3456
"71","Malta","MLT",0.232090909090909,31568.7259916109,82.2682926829268,9952.625,65.9,1476.21284722222,70704.5888181818,0.470959791818182,2.06163636363636,99.0834638807507,0,6.5138
"72","Mauritania","MRT",0.849818181818182,1790.70052692375,64.741375,-2812.25,33.4,4.04389648890182,3501.2116,2.15874995454545,2.96527272727273,90.8799905776978,0,4.3759
"73","Mauritius","MUS",0.475909090909091,10270.8167908423,74.2879268292683,-2183.75,31.65,632.924831691982,18180.4291818182,0.158135727272727,-0.126090909090909,100.332792494032,0,5.8472
"74","Mexico","MEX",0.646545454545455,10564.9601083529,73.88975,-52599,64.125,63.0078826330124,18062.7953636364,0.548712478181818,0.934272727272727,106.221601698134,1,6.5544
"75","Mongolia","MNG",0.686363636363636,4307.03401261412,70.29925,6225.71428571429,54.4,1.9889536832687,17380.0842727273,0.718183332727273,1.838,97.8109550476074,0,5.3576
"76","Montenegro","MNE",0.528545454545455,8407.05964047469,76.4704268292683,-1719.375,58.7,46.21746385791,17377.2855454545,1.47191924545455,0.083,99.2904748916625,0,5.4563
"77","Morocco","MAR",0.658545454545455,3426.30770596591,73.3375,-70515.75,59.3,79.5093589264819,6754.85234545455,3.36331236363636,1.10172727272727,110.297409057617,0,5.0632
"78","Mozambique","MOZ",0.543727272727273,556.074475067112,59.19875,19726.875,25.65,36.3641551582356,1801.77267272727,1.39845187272727,2.94427272727273,116.157054901123,0,4.78222222222222
"79","Myanmar","MMR",0.543090909090909,1273.56692593894,65.854,-88372.25,23.675,80.0467012598775,2477.51996363636,3.60059679090909,0.744181818181818,117.517066955566,0,4.3769
"80","Namibia","NAM",0.241545454545455,4718.91438373455,61.460125,-8058.625,39.4,2.87325162862823,7529.30141818182,3.504364,2.71845454545455,130.683744049072,0,4.58833333333333
"81","Nepal","NPL",0.654909090909091,1088.12338200771,68.621875,-115677.75,20.1,197.823060884393,1334.58463636364,1.31372244545455,0.670454545454545,133.164047241211,0,5.0363
"82","Netherlands","NLD",0.0202727272727273,53908.2501874851,81.6408536585366,57971.75,57.15,509.197198975026,58136.3321818182,1.2463056,0.634454545454545,104.948063441685,1,7.4073
"83","New Zealand","NZL",0.00872727272727273,44030.8977539861,81.7513414634146,54887.75,64.875,18.2198000666726,51156.6192727273,1.12840652181818,1.45454545454545,98.3767454359267,1,7.2494
"84","Nicaragua","NIC",0.896454545454546,2107.77471871085,73.126,-21537.125,57.25,53.8649862426828,3437.21117272727,0.628120350909091,1.31845454545455,109.786602444119,0,6.0954
"85","Niger","NER",0.539272727272727,564.014719549786,61.587375,297.875,21.25,17.2293548415393,482.832962727273,1.61445082,3.45809090909091,69.1078491210938,0,4.4567
"86","Nigeria","NGA",0.931909090909091,2235.45246245989,52.25475,-51772,27.925,212.724105854265,2403.21420909091,0.569939121818182,2.309,84.7750761244032,0,4.9534
"87","North Macedonia","MKD",0.686636363636364,6573.80781265171,75.6567073170732,-1170.875,57.4,82.1184906159133,15612.7841363636,1.19921174090909,-0.912454545454546,92.9373054504395,0,5.1845
"88","Norway","NOR",0.00863636363636364,85493.899300696,82.5125,26511.375,57.65,14.4210649080847,103062.952272727,1.65154610909091,0.855818181818182,99.2337086995443,1,7.4567
"89","Oman","OMN",0.255454545454545,19983.9613105634,77.368,21649.625,61.5,14.0820111290612,82240.4778181818,8.02783459090909,2.93181818181818,99.4921752929688,0,6.853
"90","Pakistan","PAK",0.897909090909091,1401.21886865297,65.976875,-1632117.5,27.35,281.941359946497,4018.3644,3.26746944545455,1.58509090909091,78.4599895477295,0,5.1075
"91","Paraguay","PRY",0.802636363636364,6074.75954775915,73.296875,-15674.125,52.5,15.9946835584641,7360.18832727273,0.957802007272727,1.34545454545455,96.8815355300903,0,5.6971
"92","Peru","PER",0.537636363636364,6801.0953032761,75.427375,73093,56.65,24.8170069444444,9571.86072727273,1.34779440909091,1.24481818181818,102.435596466064,0,5.7205
"93","Philippines","PHL",0.759090909090909,3201.33723966407,71.47875,-49627.125,26.725,357.995395989611,4657.79035454545,1.18608028181818,1.19009090909091,100.009628295898,0,5.6298
"94","Poland","POL",0.106272727272727,15841.337335189,77.4582317073171,-11712,57.625,123.960111767904,30337.5853636364,2.14387388181818,0.107909090909091,94.9617135184152,1,6.1081
"95","Portugal","PRT",0.114363636363636,22757.9806795722,81.1865853658537,1833.75,56.725,112.888813763025,27503.3541818182,1.39740621818182,-0.0490909090909091,106.333574083116,1,5.6377
"96","Qatar","QAT",0.385818181818182,74842.7549358296,80.188125,68001.125,70.85,222.154610095485,213333.11,6.47628025,3.92845454545455,103.11822605133,0,6.4218
"97","Romania","ROU",0.396909090909091,12378.5928916088,75.0780487804878,-37840.75,56.875,85.1088223972896,19286.2283636364,1.64361677272727,-0.484,90.1299819946289,0,6.0313
"98","Russian Federation","RUS",0.725818181818182,12142.6048473011,71.7116768292683,333938.125,56.525,8.80205102955842,56667.9490909091,4.3475542,0.0481818181818182,100.658193315778,0,5.6921
"99","Rwanda","RWA",0.405636363636364,804.025048626934,65.7255,-9663.375,24.15,496.550394090889,427.04045,1.26049759090909,2.29554545454545,133.21262105306,0,3.3985
"100","Senegal","SEN",0.306727272727273,1439.54250909336,67.409875,-26200,27.575,78.902412899577,2369.53485454545,1.46405130909091,2.76636363636364,84.0797653198242,0,4.6953
"101","Serbia","SRB",0.674636363636364,7970.63922664408,75.4176829268293,4635.25,56.425,80.9016760911012,25062.5831818182,2.05723301818182,-0.701636363636364,99.0752494812011,0,5.7285
"102","Sierra Leone","SLE",0.694636363636364,896.742917977415,58.345625,638.25,26.9,106.453800683477,633.422597272727,0.573088378181818,2.31236363636364,126.625741958618,0,4.0528
"103","Singapore","SGP",0.00872727272727273,67130.075222869,83.0981707317073,42298.875,31.375,7814.10290073027,166579.249090909,2.84949518181818,0.759,101.097038269043,0,6.5058
"104","Slovenia","SVN",0.104818181818182,25451.2567765171,80.9774390243903,5716.25,55.45,103.11647050358,37554.0184545455,1.08707020909091,0.278909090909091,99.0046530829535,1,6.2287
"105","Somalia","SOM",0.915181818181818,502.50800776452,55.386875,31151.25,27.525,23.7471236579137,224.220167272727,0.910245068181818,3.55736363636364,8.44797897338867,0,5.06025
"106","South Africa","ZAF",0.459090909090909,6453.45880142551,64.639125,25465.875,52.85,46.8192820721372,24231.2689090909,0.914901204545455,1.45181818181818,104.792316012912,0,4.9037
"107","Spain","ESP",0.0493636363636364,29296.1499964206,83.1682926829268,114157.625,61.075,93.6794149571562,33151.249,1.28746476363636,0.181818181818182,102.728788587782,1,6.3982
"108","Sri Lanka","LKA",0.559909090909091,3976.81183451689,75.3375,-96935.625,22.3,347.696689429653,4499.65502727273,1.89661685454545,0.729090909090909,97.414678785536,0,4.3317
"109","Sweden","SWE",0.00772727272727273,55217.7185296735,82.394512195122,78888.125,55.8,24.6332600388907,60739.3329090909,1.15676114545455,0.926181818181818,120.148173014323,1,7.3435
"110","Switzerland","CHE",0.0215454545454545,88015.5811334375,83.3381097560976,60917,53.7,213.217071995526,37996.6209090909,0.682880316363636,0.920454545454545,101.937845018175,1,7.45
"111","Tajikistan","TJK",0.894272727272727,941.07772311154,69.491,-14474.5,44.25,64.3085810942749,4392.09381818182,1.297904447,2.33581818181818,92.5364379882813,0,5.2652
"112","Tanzania","TZA",0.351181818181818,1060.06008078835,65.350125,33760.125,26.7,63.5377594641379,1010.55905636364,1.09018525818182,3.09681818181818,90.5486137390137,0,3.5606
"113","Thailand","THA",0.698181818181818,6600.68921522362,78.196125,40613.25,31.1,138.505899943671,19665.6991818182,1.32989372727273,0.262454545454545,102.207963562012,0,6.1127
"114","Togo","TGO",0.738363636363636,850.324267799425,59.852125,-1866.125,27.2,144.551024493882,1146.15177272727,2.13605268181818,2.445,123.909566497803,0,3.8478
"115","Tunisia","TUN",0.378090909090909,3871.1225755535,75.73225,-21856.5,60.675,75.9462931971622,9799.18404545455,2.22941223636364,0.911636363636364,105.832361221314,0,4.6065
"116","Uganda","UGA",0.785636363636364,854.860111120523,61.697,12042.75,21.65,200.969541968659,632.853895454546,1.47449641,3.16372727272727,107.886383056641,0,4.2576
"117","Ukraine","UKR",0.722454545454545,3504.17502663352,71.423506097561,-25199.875,57.8,77.2360402120351,21671.2974090909,8.52888308181818,-1.90663636363636,90.9546325683594,0,4.6
"118","United Arab Emirates","ARE",0.115727272727273,45456.5347810581,79.28225,-10862.375,66.925,127.619005600926,133179.761818182,5.83916905,3.16790909090909,116.605251857213,0,6.6953
"119","United Kingdom","GBR",0.0433636363636364,44195.5866781281,81.0862804878049,241555.875,62.95,272.310833252961,32502.1890909091,2.08300538181818,0.649727272727273,100.341684129503,1,6.8891
"120","United States","USA",0.0730909090909091,64300.2419080532,78.4698170731707,1206925.5,67.15,35.4938013001359,77914.9212727273,3.47675302727273,0.709454545454545,100.384685940213,1,6.9481
"121","Uruguay","URY",0.0540909090909091,18638.2782516329,77.60425,-3584,62.125,19.5040712807425,13840.6270909091,1.95226112727273,0.128272727272727,107.388127644857,0,6.4606
"122","Uzbekistan","UZB",0.818454545454545,2403.00200767878,70.661,-39197.25,47.15,73.8617001771718,17092.9895454545,2.8666198,1.818,98.468238067627,0,6.094
"123","Viet Nam","VNM",0.498909090909091,3231.55751753151,74.10675,-3978.125,17.375,299.849685319774,10763.9279727273,1.83916638333333,1.015,112.641302490234,0,5.3828
"124","Zambia","ZMB",0.372181818181818,1375.10685436653,61.65175,16380.375,26.975,23.3022630561796,1940.89054545455,1.34309031818182,2.97436363636364,100.721525192261,0,4.1998
"125","Zimbabwe","ZWE",0.776909090909091,1871.23893551608,60.0925,-56172.625,37.55,38.1542943719214,2906.46753636364,1.31245136181818,1.53727272727273,99.3784561157226,0,3.6017
